City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Srednekolymsk,RU,2021-09-16 08:20:23,67.45,153.6833,39.27,62,78,5.86
202,Iqaluit,CA,2021-09-16 08:15:16,63.7506,-68.5145,33.53,93,90,4.61
203,Padang,ID,2021-09-16 08:19:20,-0.9492,100.3543,87.85,79,38,4.34
204,Hargeysa,SO,2021-09-16 08:22:30,9.56,44.065,84.09,36,89,15.95
205,Shirpur,IN,2021-09-16 08:22:30,21.35,74.8833,86.38,63,96,15.68
206,Lamu,KE,2021-09-16 08:22:31,-2.2717,40.902,84.42,68,19,12.64
207,Omsukchan,RU,2021-09-16 08:19:36,62.5333,155.8,41.14,80,37,1.88
208,Hualmay,PE,2021-09-16 08:18:43,-11.0964,-77.6139,59.41,87,64,7.81
209,Izhmorskiy,RU,2021-09-16 08:22:32,56.194,86.6414,62.53,63,100,4.88
210,Longyearbyen,SJ,2021-09-16 08:17:10,78.2186,15.6401,40.84,75,75,16.11
211,Batagay,RU,2021-09-16 08:14:55,67.6333,134.6333,54.28,61,98,4.25
212,Paamiut,GL,2021-09-16 08:16:38,61.994,-49.6678,37.26,70,100,4.07
213,Fortuna,US,2021-09-16 08:15:55,40.5982,-124.1573,56.19,57,2,1.34
214,Klaksvik,FO,2021-09-16 08:15:44,62.2266,-6.589,52.72,80,6,9.24
215,Tessalit,ML,2021-09-16 08:20:28,20.1986,1.0114,92.43,27,0,6.58
216,Atikokan,CA,2021-09-16 08:22:35,48.7555,-91.6216,58.32,73,96,11.74
217,Koroni,GR,2021-09-16 08:22:36,36.8,21.95,82.11,51,0,1.83
218,Ozinki,RU,2021-09-16 08:22:37,51.1786,49.6769,56.82,49,100,7.92
219,Saint George,US,2021-09-16 08:20:12,37.1041,-113.5841,79.32,19,1,1.01
220,Bathsheba,BB,2021-09-16 08:17:52,13.2167,-59.5167,83.01,78,20,14.97
221,Conceicao Do Araguaia,BR,2021-09-16 08:22:38,-8.2578,-49.2647,76.8,62,0,4.07
222,Cherskiy,RU,2021-09-16 08:16:06,68.75,161.3,30.52,73,68,2.44
223,Roald,NO,2021-09-16 08:22:40,62.5833,6.1333,59.16,94,75,3.44
224,Saldanha,ZA,2021-09-16 08:13:21,-33.0117,17.9442,58.51,71,0,19.08
225,Muroto,JP,2021-09-16 08:15:04,33.2833,134.15,77.41,85,95,16.64
226,Victoria,HK,2021-09-16 08:14:12,22.2855,114.1577,89.96,73,45,9.15
227,Berlevag,NO,2021-09-16 08:18:09,70.8578,29.0864,44.55,65,20,3.44
228,Birjand,IR,2021-09-16 08:18:41,32.8663,59.2211,91.87,3,0,6.91
229,Alpena,US,2021-09-16 08:22:43,45.0617,-83.4327,54.99,99,1,0.0
230,Kayes,ML,2021-09-16 08:21:07,14.0,-11.0,71.37,94,100,10.76
231,Bom Jesus Da Lapa,BR,2021-09-16 08:22:44,-13.255,-43.4181,72.48,52,0,3.02
232,Eseka,CM,2021-09-16 08:22:44,3.65,10.7667,76.51,90,92,3.2
233,Port Hardy,CA,2021-09-16 08:18:11,50.6996,-127.4199,50.0,87,1,8.05
234,Margate,GB,2021-09-16 08:22:45,51.3813,1.3862,64.11,84,83,5.68
235,Pasni,PK,2021-09-16 08:22:46,25.2631,63.471,84.99,66,2,11.34
236,Dawei,MM,2021-09-16 08:22:47,14.0833,98.2,76.77,96,100,7.58
237,Constitucion,CL,2021-09-16 08:15:51,-35.3333,-72.4167,49.17,80,0,6.85
238,Baruun-Urt,MN,2021-09-16 08:20:14,46.6806,113.2792,69.48,34,0,11.95
239,Hilo,US,2021-09-16 08:12:34,19.7297,-155.09,74.8,94,90,5.75
240,Tubuala,PA,2021-09-16 08:22:49,9.5167,-79.0333,73.33,86,20,4.09
241,Ibiruba,BR,2021-09-16 08:22:49,-28.6275,-53.0897,47.97,76,87,4.85
242,Caldwell,US,2021-09-16 08:22:50,43.6629,-116.6874,63.0,40,1,11.5
243,Kiunga,PG,2021-09-16 08:22:50,-6.1219,141.2906,74.53,97,100,2.33
244,Yulara,AU,2021-09-16 08:15:49,-25.2406,130.9889,94.84,12,99,18.41
245,Morgan City,US,2021-09-16 08:22:00,29.6994,-91.2068,79.0,100,75,3.44
246,Areni,AM,2021-09-16 08:22:52,39.7191,45.1799,79.16,21,0,6.31
247,Yumen,CN,2021-09-16 08:22:53,40.2833,97.2,79.05,17,0,7.99
248,Saint Simons,US,2021-09-16 08:22:53,31.1352,-81.3901,78.84,93,75,9.22
249,Vila Franca Do Campo,PT,2021-09-16 08:20:07,37.7167,-25.4333,66.61,79,7,1.77
250,Tacuarembo,UY,2021-09-16 08:22:15,-31.7333,-55.9833,43.66,84,0,0.4
251,Sena Madureira,BR,2021-09-16 08:22:55,-9.0656,-68.6569,72.34,83,23,1.9
252,Araouane,ML,2021-09-16 08:22:56,18.9048,-3.5265,90.97,33,80,10.07
253,Otane,NZ,2021-09-16 08:22:57,-39.8833,176.6333,47.01,98,100,16.22
254,Quatre Cocos,MU,2021-09-16 08:19:19,-20.2078,57.7625,76.08,71,6,8.81
255,Dicabisagan,PH,2021-09-16 08:22:58,17.0818,122.4157,86.13,69,93,4.41
256,Port Elizabeth,ZA,2021-09-16 08:13:12,-33.918,25.5701,60.1,76,93,12.75
257,Kerman,IR,2021-09-16 08:22:59,30.2832,57.0788,87.66,8,0,4.61
258,Buenos Aires,AR,2021-09-16 08:20:49,-34.6132,-58.3772,55.94,55,0,6.91
259,Ambilobe,MG,2021-09-16 08:23:00,-13.2,49.05,93.06,29,7,9.78
260,Palu,ID,2021-09-16 08:23:01,-0.8917,119.8707,75.27,99,100,2.89
261,Carnarvon,AU,2021-09-16 08:12:05,-24.8667,113.6333,67.46,56,9,20.15
262,Bubaque,GW,2021-09-16 08:18:10,11.2833,-15.8333,81.27,78,100,6.98
263,Kangaatsiaq,GL,2021-09-16 08:23:03,68.3065,-53.4641,31.46,81,13,11.72
264,Xining,CN,2021-09-16 08:23:03,36.6167,101.7667,68.02,43,49,4.61
265,Marzuq,YE,2021-09-16 08:15:16,14.4,46.4667,91.78,14,22,7.9
266,Saint-Pierre,RE,2021-09-16 08:22:57,-21.3393,55.4781,78.44,65,0,4.61
267,Castro,BR,2021-09-16 08:16:03,-24.7911,-50.0119,56.12,98,100,6.71
268,Flin Flon,CA,2021-09-16 08:13:19,54.7682,-101.865,46.72,55,0,11.23
269,Kruisfontein,ZA,2021-09-16 08:23:06,-34.0033,24.7314,57.88,56,86,15.73
270,Leningradskiy,RU,2021-09-16 08:17:51,69.3833,178.4167,29.41,88,100,4.92
271,Orsha,BY,2021-09-16 08:23:07,54.5153,30.4053,51.91,62,9,5.35
272,Antofagasta,CL,2021-09-16 08:22:32,-23.65,-70.4,54.68,79,38,6.35
273,Dhidhdhoo,MV,2021-09-16 08:23:08,6.8833,73.1,82.98,73,64,15.52
274,Nemuro,JP,2021-09-16 08:19:37,43.3236,145.575,57.63,71,100,8.43
275,Iraucuba,BR,2021-09-16 08:23:09,-3.7461,-39.7833,75.18,85,20,5.61
276,Lompoc,US,2021-09-16 08:23:10,34.6391,-120.4579,57.51,88,90,0.0
277,Mirnyy,RU,2021-09-16 08:23:10,62.5353,113.9611,45.63,79,100,5.95
278,Upata,VE,2021-09-16 08:23:11,8.0086,-62.3989,69.49,98,8,3.27
279,Namatanai,PG,2021-09-16 08:19:23,-3.6667,152.4333,80.31,79,93,8.95
280,Wagga Wagga,AU,2021-09-16 08:23:13,-35.1167,147.3667,59.41,51,95,4.61
281,Vangaindrano,MG,2021-09-16 08:23:13,-23.35,47.6,78.22,60,8,9.19
282,Garowe,SO,2021-09-16 08:23:14,8.4054,48.4845,89.62,39,100,23.64
283,Gazanjyk,TM,2021-09-16 08:23:15,39.2446,55.5154,97.61,8,0,9.08
284,Methoni,GR,2021-09-16 08:20:52,36.8197,21.7049,82.26,59,0,8.59
285,Beyneu,KZ,2021-09-16 08:18:59,45.3167,55.2,82.27,22,0,1.92
286,Ahipara,NZ,2021-09-16 08:21:20,-35.1667,173.1667,58.89,96,68,7.29
287,Zhoucheng,CN,2021-09-16 08:23:16,35.9122,116.3117,82.36,51,4,8.01
288,Portland,US,2021-09-16 08:13:09,45.5234,-122.6762,53.64,71,40,3.0
289,Bow Island,CA,2021-09-16 08:23:18,49.8668,-111.3684,46.58,81,100,5.75
290,Abha,SA,2021-09-16 08:19:48,18.2164,42.5053,82.22,25,20,14.97
291,Souillac,MU,2021-09-16 08:14:27,-20.5167,57.5167,76.35,66,8,11.65
292,Ormara,PK,2021-09-16 08:20:13,25.2088,64.6357,83.07,75,6,9.91
